Medicine Name,Disease,Dosage Form,Classification,Prescription,Description,Injection,Price,Category,Age
Aspirin,Pain,Inhaler,Antihistamine,Not Required,Reduces fever,No,190.49,Controlled Substance,Child
Aspirin,Blood Pressure,Cream,ACE inhibitor,Required,Used for treating infections,No,228.79,Prescription,Senior
Aspirin,Allergy,Tablet,Proton Pump Inhibitor,Required,Alleviates allergies,Yes,483.85,Prescription,Child
Metformin,Diabetes,Inhaler,ACE inhibitor,Required,Reduces fever,Yes,123.67,Controlled Substance,Adult
Aspirin,Infection,Injection,Statin,Required,Reduces fever,No,443.59,Over the Counter,Senior
Amoxicillin,Infection,Gel,Antipyretic,Required,Alleviates allergies,No,331.2,Over the Counter,Adult
Cetirizine,Acidity,Syrup,Proton Pump Inhibitor,Not Required,Controls blood pressure,Yes,17.13,Controlled Substance,Senior
Omeprazole,Diabetes,Gel,Antipyretic,Required,Lowers cholesterol,No,351.45,Controlled Substance,Child
Lisinopril,Allergy,Injection,Antihistamine,Not Required,Used for pain relief,Yes,430.82,Controlled Substance,Child
Atorvastatin,Allergy,Inhaler,ACE inhibitor,Not Required,Lowers cholesterol,No,293.4,Prescription,Senior
Omeprazole,Diabetes,Injection,Antihistamine,Not Required,Lowers cholesterol,No,102.92,Prescription,Child
Simvastatin,Acidity,Syrup,Proton Pump Inhibitor,Required,Used for treating infections,No,480.48,Controlled Substance,Senior
Ibuprofen,Pain,Capsule,Proton Pump Inhibitor,Required,Used for treating infections,No,143.88,Prescription,Senior
Cetirizine,Cholesterol,Gel,Antibiotic,Not Required,Controls blood pressure,Yes,142.36,Prescription,Senior
Paracetamol,Infection,Gel,Antihistamine,Not Required,Used for treating infections,No,280.06,Controlled Substance,Adult
Atorvastatin,Acidity,Injection,Analgesic,Not Required,Used for treating infections,Yes,402.96,Over the Counter,Child
Aspirin,Allergy,Syrup,Statin,Required,Controls blood pressure,Yes,358.01,Controlled Substance,Child
Paracetamol,Cholesterol,Drops,ACE inhibitor,Not Required,Controls blood pressure,No,496.92,Controlled Substance,Child
Aspirin,Cholesterol,Injection,Analgesic,Required,Used for pain relief,No,203.9,Controlled Substance,Child
Lisinopril,Diabetes,Cream,Antipyretic,Not Required,Controls blood pressure,No,69.52,Over the Counter,Child
Lisinopril,Diabetes,Inhaler,Proton Pump Inhibitor,Not Required,Used for pain relief,No,167.67,Over the Counter,Senior
Amoxicillin,Cholesterol,Injection,Analgesic,Required,Used for treating infections,No,322.93,Over the Counter,Adult
Simvastatin,Cholesterol,Inhaler,Antipyretic,Not Required,Used for pain relief,Yes,213.49,Controlled Substance,Adult
Ibuprofen,Cholesterol,Inhaler,Statin,Required,Used for treating infections,Yes,132.11,Over the Counter,Adult
Paracetamol,Allergy,Gel,Antihistamine,Not Required,Used for pain relief,Yes,499.04,Over the Counter,Child
Ibuprofen,Pain,Drops,Analgesic,Required,Controls blood pressure,Yes,113.3,Controlled Substance,Adult
Aspirin,Diabetes,Inhaler,Antihistamine,Required,Reduces fever,No,119.86,Over the Counter,Child
Cetirizine,Cholesterol,Syrup,Antihistamine,Required,Controls blood pressure,Yes,138.78,Controlled Substance,Adult
Aspirin,Heart Disease,Tablet,Antipyretic,Not Required,Lowers cholesterol,No,355.7,Prescription,Child
Cetirizine,Diabetes,Drops,Antibiotic,Required,Lowers cholesterol,Yes,192.12,Controlled Substance,Adult
Simvastatin,Heart Disease,Syrup,Statin,Required,Controls blood pressure,No,494.15,Prescription,Senior
Omeprazole,Cholesterol,Capsule,Antipyretic,Not Required,Used for pain relief,No,197.79,Controlled Substance,Adult
Omeprazole,Infection,Gel,Analgesic,Not Required,Lowers cholesterol,Yes,119.85,Over the Counter,Adult
Simvastatin,Asthma,Injection,ACE inhibitor,Required,Used for pain relief,No,137.68,Controlled Substance,Child
Omeprazole,Blood Pressure,Cream,Antibiotic,Not Required,Lowers cholesterol,No,254.0,Over the Counter,Child
